province;red;green;blue;x;x
302;128;0;32;Brighton;x
303;224;96;192;Southampton;x
304;19;114;99;Isle of Man;x
305;192;64;192;Trondheim;x
306;192;192;192;Bodo;x
307;97;128;128;Hammerfest;x
308;64;64;192;Alesund;x
309;224;128;32;Bergen;x
310;251;103;124;ponysand;x
311;96;1;32;Skien;x
312;96;128;32;Drammen;x
313;192;65;224;ponyia;x
314;32;128;160;Hamar;x
315;96;0;160;Lillehammer;x
316;149;161;84;Frederiksstad;x
317;97;192;97;Gavle;x
318;224;128;1;Sundsvall;x
319;65;192;192;Ostersund;x
320;97;1;128;Umea;x
321;223;0;128;Lulea;x
322;96;64;96;Stockholm;x
323;160;1;160;Falun;x
324;196;128;165;Uppsala;x
325;192;192;224;Norrkoping;x
326;1;1;160;Vasteras;x
327;248;228;0;Orebro;x
328;160;128;33;Karlstad;x
329;65;192;224;Gothenburg;x
330;160;1;32;Boras;x
331;33;192;224;Gotland;x
332;64;64;223;Kalmar;x
333;65;192;97;Vaxjo;x
334;192;65;97;Malmo;x
335;192;192;97;Karlskrona;x
336;101;124;82;Oulu;x
337;160;192;0;Kajaani;x
338;224;128;128;Tornio;x
339;32;128;1;Viipuri;x
340;74;100;99;Kotka;x
341;64;192;64;Mikkeli;x
342;160;65;128;Kuopio;x
343;224;192;224;Helsinki;x
344;97;192;224;Hameenlinna;x
345;224;65;224;Turku;x
346;33;65;128;Vaasa;x
347;121;211;121;Tampere;x
348;224;65;97;Aland Islands;x
349;128;160;33;Reval;x
350;1;160;33;Narva;x
351;1;33;160;Parnu;x
352;191;96;96;Dorpat;x
353;96;64;224;Kuressaare;x
354;0;160;160;Riga;x
355;128;33;160;Valmiera;x
356;191;32;96;Daugavpils;x
357;1;224;33;Jelgava;x
358;128;97;33;Ventspils;x
359;74;142;93;Liepaja;x
360;65;224;97;Vilnius;x
361;1;97;160;Kaunas;x
362;0;224;160;Marijampole;x
363;168;255;81;Panevezys;x
364;192;160;160;Siauliai;x
365;128;96;160;Palanga;x
366;128;65;224;Aarhus;x
367;0;191;223;Aalborg;x
368;148;70;143;Ribe;x
369;128;65;96;Kiel;x
370;0;192;96;Flensburg;x
371;128;192;97;Abenra;x
372;128;192;224;Copenhagen;x
373;116;112;139;Odense;x
374;144;0;224;Bornholm;x
375;119;119;50;Amsterdam;x
376;128;192;160;Rotterdam;x
377;192;64;33;Utrecht;x
378;1;192;160;Middelburg;x
379;192;192;160;Eindhoven;x
380;76;72;148;Breda;x
381;0;0;223;Maastricht;x
382;65;192;160;Arnhem;x
383;192;192;33;Groningen;x
384;192;65;160;Zwolle;x
385;65;192;33;Leeuwarden;x
386;65;65;160;Assen;x
387;1;128;97;Brussels;x
388;1;65;160;Bruges;x
389;128;65;160;Ghent;x
390;128;0;96;Antwerp;x
391;128;128;97;Hasselt;x
392;145;101;116;Namur;x
393;128;128;160;Tournai;x
394;176;160;192;Charleroi;x
395;239;32;64;Liege;x
396;72;111;106;Spa;x
397;81;128;160;Luxembourg;x
398;208;1;160;Arlon;x
399;160;160;128;Lille;x
400;224;160;192;Dunkirk;x
401;16;96;0;Arras;x
402;16;160;192;Amiens;x
403;112;64;160;Laon;x
404;112;192;32;Cambrai;x
405;239;191;32;Charleville;x
406;239;0;223;Troyes;x
407;112;0;96;Chaumont;x
408;239;64;160;Chalons;x
409;110;72;145;Strasbourg;x
410;176;0;224;Colmar;x
411;176;128;224;Nancy;x
412;240;192;160;Metz;x
413;112;191;160;Verdun;x
414;48;128;224;Epinal;x
415;144;32;192;Rouen;x
416;176;96;128;Evreux;x
417;16;32;192;Alencon;x
418;144;160;64;Caen;x
419;183;142;84;Channel Islands;x
420;208;224;128;Brest;x
421;85;96;126;St Brieuc;x
422;144;32;64;Vannes;x
423;112;96;0;Nantes;x
424;16;160;64;Rennes;x
425;144;96;0;Paris;x
426;144;160;192;Chartres;x
427;112;128;223;Melun;x
428;240;128;96;Dijon;x
429;112;0;224;Auxerre;x
430;240;128;224;Moulins;x
431;109;120;150;Macon;x
432;240;0;96;Besancon;x
433;112;128;96;Lons;x
434;80;160;64;Angers;x
435;48;224;128;Laval;x
436;176;224;128;Le Mans;x
437;63;116;175;La Roche;x
438;16;223;0;Orleans;x
439;144;224;0;Bourges;x
440;136;98;119;Blois;x
441;208;32;64;Tours;x
442;208;160;64;La Rochelle;x
443;208;32;192;Poitiers;x
444;80;32;192;Angouleme;x
445;48;96;0;Limoges;x
446;80;160;192;Chateauroux;x
447;176;96;0;Tulle;x
448;112;192;96;Clermont-Ferrand;x
449;240;192;96;Aurillac;x
450;48;224;0;Cahors;x
451;176;64;96;Lyon;x
452;239;64;96;St Etienne;x
453;112;64;96;Valence;x
454;48;192;96;Grenoble;x
455;48;96;128;Toulouse;x
456;176;224;0;Montauban;x
457;16;96;64;Foix;x
458;240;160;128;Bordeaux;x
459;112;160;128;Mont de Marsan;x
460;240;32;128;Pau;x
461;144;96;128;Montpellier;x
462;16;96;128;Rodez;x
463;207;159;191;Carcassone;x
464;16;96;192;Perpignan;x
465;107;75;164;Annency;x
466;208;0;224;Chambery;x
467;49;192;223;Marseilles;x
468;176;192;224;Avignon;x
469;176;64;224;Digne;x
470;48;64;224;Toulon;x
471;176;192;96;Frejus;x
472;80;128;224;Nice;x
473;239;64;32;Corsica;x
474;208;224;64;La Coruna;x
475;80;96;192;Oviedo;x
476;80;224;64;Vigo;x
477;208;96;192;Leon;x
478;240;160;0;Santander;x
479;112;160;0;Burgos;x
480;80;224;192;Valladolid;x
481;240;32;0;Soria;x
482;176;32;0;Salamanca;x
483;112;32;0;Avila;x
484;0;144;32;Badajoz;x
485;80;96;0;Almendralejo;x
486;48;160;0;Caceres;x
487;48;32;128;Madrid;x
488;176;160;128;Siguenza;x
489;176;160;0;Toledo;x
490;176;32;128;Cuenca;x
491;128;16;160;Ciudad Real;x
492;112;32;128;BIlbao;x
493;16;224;192;Pamplona;x
494;158;201;184;Logrono;x
495;80;96;64;Zaragoza;x
496;144;96;192;Huesca;x
497;48;160;128;Teruel;x
498;224;192;32;Barcelona;x
499;17;224;65;Gerona;x
500;144;96;64;Lerida;x
501;177;233;121;Tarragona;x
502;96;240;128;Balearic Islands;x
503;143;223;128;Valencia;x
504;208;96;64;Castellon;x
505;223;239;128;Alicante;x
506;113;21;139;Cartagena;x
507;98;104;120;Murcia;x
508;160;48;64;Albacete;x
509;128;16;32;Seville;x
510;128;144;32;Cordoba;x
511;208;96;0;Huelva;x
512;78;84;100;Cadiz;x
513;160;176;64;Granada;x
514;32;48;192;Malaga;x
515;32;176;64;Almeria;x
516;0;16;160;Jaen;x
517;188;110;211;Gibraltar;x
518;208;160;0;Oporto;x
519;208;224;192;Vila Real;x
520;48;32;163;Covilha;x
521;208;160;128;Lisbon;x
522;80;160;0;Coimbra;x
523;208;32;0;Abrantes;x
524;84;81;100;Setubal;x
525;235;169;53;Evora;x
526;160;112;128;Beja;x
527;32;112;128;Faro;x
528;88;114;151;Hamburg;x
529;224;0;160;Lauenburg;x
530;96;128;159;Lubeck;x
531;65;128;97;Stade;x
532;192;128;224;Luneburg;x
533;104;190;102;Heligoland;x
534;105;75;145;Hanover;x
535;191;0;223;Nienburg;x
536;33;128;224;Brunswick;x
537;160;1;224;Gottingen;x
538;77;98;160;Osnabruck;x
539;192;128;97;Bremen;x
540;192;1;97;Oldenburg;x
541;65;1;224;Cloppenburg;x
542;128;128;224;Lingen;x
543;120;75;142;Emden;x
544;224;128;160;Schwerin;x
545;224;65;160;Neustrelitz;x
546;25;174;25;Stettin;x
547;160;65;33;Swinemunde;x
548;86;116;82;Stralsund;x
549;131;177;168;Berlin;x
550;160;64;160;Prenzlau;x
551;97;192;160;Pritzwalk;x
552;223;64;32;Cottbus;x
553;160;128;224;Magdeburg;x
554;97;128;97;Erfurt;x
555;138;68;140;Dessau;x
556;207;93;142;Halle;x
557;224;192;160;Stendal;x
558;121;83;104;Dresden;x
559;175;223;191;Leipzig;x
560;49;224;192;Chemnitz;x
561;81;192;33;Weimar;x
562;208;192;33;Gotha;x
563;81;65;160;Meiningen;x
564;17;192;160;Frankfurt;x
565;144;192;160;Wiesbaden;x
566;192;128;32;Kassel;x
567;139;124;103;Giessen;x
568;208;65;33;Fulda;x
569;49;128;97;Mannheim;x
570;144;192;32;Mainz;x
571;17;192;33;Kaiserlautern;x
572;208;128;160;Trier;x
573;144;64;32;Saarbrucken;x
574;93;122;104;Kreuznach;x
575;81;128;33;Cologne;x
576;131;75;102;Aachen;x
577;128;1;224;Kleves;x
578;33;1;224;Dusseldorf;x
579;81;1;160;Koblenz;x
580;160;128;97;Dortmund;x
581;1;128;224;Munster;x
582;33;128;97;Minden;x
583;65;128;33;Siegen;x
584;65;1;160;Korbach;x
585;159;0;96;Detmold;x
586;176;1;96;Karlsruhe;x
587;176;128;97;Freiburg;x
588;174;186;42;Konstanz;x
589;17;128;96;Stuttgart;x
590;16;0;96;Heilbronn;x
591;143;0;96;Tubingen;x
592;112;74;95;Augsburg;x
593;219;184;76;Ulm;x
594;144;128;96;Sigmaringen;x
595;208;192;160;Nuremburg;x
596;144;64;160;Aschaffenburg;x
597;81;192;160;Wurzburg;x
598;208;65;160;Bayreuth;x
599;176;1;33;Munich;x
600;176;128;33;Landshut;x
601;49;128;33;Ingolstadt;x
602;49;1;160;Regensburg;x
603;126;75;134;Zurich;x
604;144;128;224;Basel;x
605;80;128;96;Bern;x
606;208;1;97;Lucern;x
607;208;128;96;Geneva;x
608;17;127;224;Neuchatel;x
609;144;65;224;Sitten;x
610;166;238;251;Ponape;x
611;144;192;224;Chur;x
612;81;192;224;Innsbruck;x
613;240;97;192;Salzburg;x
614;208;192;224;Bregenz;x
615;240;224;192;Lienz;x
616;176;97;65;Graz;x
617;17;1;160;Judenburg;x
618;143;128;32;Klagenfurt;x
619;49;97;65;Vienna;x
620;17;128;160;Sankt Polten;x
621;169;121;59;Krems;x
622;144;1;160;Linz;x
623;240;224;1;Sopron;x
624;48;160;32;Eisenstadt;x
625;113;224;65;Prague;x
626;144;128;160;Hradec Kralove;x
627;113;97;65;Karlsbad;x
628;29;107;148;Aussig;x
629;240;97;65;Plzen;x
630;240;224;65;Budejovice;x
631;239;96;128;Brno;x
632;113;224;128;Olomouc;x
633;81;97;97;Bratislava;x
634;144;224;224;Trencin;x
635;208;97;97;Nitra;x
636;81;48;106;Banska Bystrica;x
637;81;224;97;Kosice;x
638;32;192;0;Roznava;x
639;113;97;128;Zalaegerszeg;x
640;207;32;32;Pecs;x
641;81;224;224;Budapest;x
642;113;95;93;Gyor;x
643;207;223;223;Szekesfehevar;x
644;176;33;33;Kaposvar;x
645;132;97;101;Kecskemet;x
646;208;97;224;Miskolc;x
647;81;97;160;Oradea;x
648;16;159;159;Debrecen;x
649;144;160;160;Szeged;x
650;80;96;223;Bekescsaba;x
651;144;33;160;Szatmar;x
652;144;224;33;Temesvar;x
653;17;97;160;Resicabanya;x
654;208;224;160;Cluj;x
655;208;97;160;Gyulafehervar;x
656;208;224;33;Deva;x
657;81;224;160;Nagyszeben;x
658;96;144;192;Hawaii;x
659;48;96;96;Brasso;x
660;175;96;159;Udvarhely;x
661;176;97;97;Beszterce;x
662;49;160;160;Cernauti;x
663;0;167;244;Suceava;x
664;176;224;32;Bucharest;x
665;224;33;33;Tirgu Jiu;x
666;81;224;33;Craiova;x
667;224;163;33;Tirgoviste;x
668;49;224;33;Braila;x
669;33;100;224;Calarasi;x
670;176;160;224;Iasi;x
671;239;32;96;Botosani;x
672;48;224;160;Bacau;x
673;244;0;69;Galati;x
674;176;97;33;Constanta;x
675;217;224;33;Tulcea;x
676;113;33;97;Chisinau;x
677;138;202;155;Balti;x
678;176;224;160;Izmail;x
679;160;192;32;Kolberg;x
680;128;1;160;Koslin;x
681;96;191;32;Kustrin;x
682;110;97;127;Breslau;x
683;192;1;33;Liegnitz;x
684;175;159;32;Oppeln;x
685;94;144;145;Kattowitz;x
686;177;200;76;Line Islands;x
687;97;65;33;Gorlitz;x
688;240;224;128;Troppau;x
689;16;223;223;Tesin;x
690;128;160;160;Danzig;x
691;148;80;0;Tuchel;x
692;1;128;160;Deutsch Krone;x
693;122;96;97;Elbing;x
694;65;160;33;Torun;x
695;65;33;160;Konigsburg;x
696;191;159;32;Allenstein;x
697;192;32;160;Gumbinnen;x
698;64;160;160;Memel;x
699;33;65;160;Posen;x
700;192;33;33;Bromberg;x
701;65;224;160;Gniezno;x
702;17;160;33;Lvov;x
703;144;96;96;Krakow;x
704;17;97;224;Novy Sacz;x
705;144;224;96;Przemysl;x
706;65;97;160;Warsaw;x
707;128;159;96;Suwalki;x
708;128;33;97;Plock;x
709;0;159;96;Lomza;x
710;87;126;228;Skierniewicz;x
711;64;223;32;Siedlice;x
712;192;97;160;Lodz;x
713;96;0;223;Radom;x
714;17;224;97;Tarnow;x
715;81;160;224;Lublin;x
716;208;160;224;Kielce;x
717;192;224;160;Kalisz;x
718;1;97;224;Minsk;x
719;192;97;33;Bialystock;x
720;208;128;224;Turin;x
721;144;192;96;Aosta;x
722;17;64;224;Novara;x
723;17;192;97;Alessandria;x
724;144;64;97;Genoa;x
725;84;114;138;Savona;x
726;208;64;96;Milan;x
727;134;122;144;Bergamo;x
728;80;192;96;Brescia;x
729;176;1;160;Venice;x
730;48;128;160;Verona;x
731;176;128;160;Padua;x
732;81;65;224;Treviso;x
733;85;72;102;Udine;x
734;208;191;96;Trent;x
735;208;64;224;Bozen;x
736;144;0;33;Trieste;x
737;16;128;33;Gorizia;x
738;112;1;32;Parma;x
739;239;0;33;Modena;x
740;240;128;33;Massa;x
741;112;0;160;Bologna;x
742;112;128;32;Ferrara;x
743;240;0;160;Ravenna;x
744;112;128;160;Florence;x
745;106;118;98;Leghorn;x
746;240;128;160;Lucca;x
747;176;64;32;Siena;x
748;176;192;32;Grosetto;x
749;176;192;160;Rome;x
750;176;64;160;Viterbo;x
751;48;64;160;Perugia;x
752;48;192;33;Ancona;x
753;49;192;160;Aquila;x
754;176;32;64;Naples;x
755;64;144;160;Salerno;x
756;48;32;159;Bari;x
757;112;64;32;Foggia;x
758;64;80;223;Brindisi;x
759;192;16;32;Reggio di Calabria;x
760;192;80;224;Catanzaro;x
761;120;84;96;Potenza;x
762;192;144;160;Palermo;x
763;128;81;32;Messina;x
764;0;208;32;Catania;x
765;128;208;32;Cagliari;x
766;48;160;64;Sassari;x
767;49;224;65;Maribor;x
768;176;224;64;Ljubljana;x
769;48;96;191;Postojna;x
770;176;97;192;Pola;x
771;113;160;65;Zagreb;x
772;112;223;0;Sisak;x
773;240;33;192;Karlovac;x
774;113;160;192;Senj;x
775;18;77;115;Varadzin;x
776;81;160;33;Bjelovar;x
777;16;96;32;Pozega;x
778;240;160;64;Fiume;x
779;144;97;33;Osijek;x
780;208;160;33;Split;x
781;239;160;192;Zadar;x
782;17;160;224;Dubrovnik;x
783;81;160;160;Sarajevo;x
784;240;97;1;Bihac;x
785;80;32;159;Banja Luka;x
786;208;160;160;Tuzla;x
787;17;33;224;Foca;x
788;144;33;224;Mostar;x
789;208;33;160;Livno;x
790;200;225;201;Kitwe;x
791;144;33;97;Mitrovica;x
792;98;105;152;Pancevo;x
793;128;207;0;Vukovar;x
794;16;160;96;Belgrade;x
795;144;97;160;Bor;x
796;144;160;97;Kragujevac;x
797;237;186;32;Uzice;x
798;208;33;224;Nis;x
799;98;167;48;Leskovac;x
800;68;110;132;Ulcinj;x
801;160;0;176;Tahiti;x
802;208;33;97;Pristina;x
803;165;211;169;Prizren;x
804;157;255;175;Novi Pazar;x
805;112;160;224;Salonika;x
806;17;224;160;Skopje;x
807;224;17;139;Bitola;x
808;240;160;224;Petrich;x
809;208;97;33;Sofia;x
810;205;210;55;Vidin;x
811;181;87;87;Ruse;x
812;113;160;160;Pleven;x
813;232;213;156;Shumen;x
814;240;160;160;Varna;x
815;240;33;160;Plovdiv;x
816;110;113;146;Stara Zagora;x
817;113;33;160;Burgas;x
818;49;96;33;Silistre;x
819;144;224;160;Florina;x
820;1;208;96;Grevena;x
821;80;96;32;Edessa;x
822;210;97;158;Polygyros;x
823;112;32;32;Kavala;x
824;128;80;224;Janina;x
825;1;208;224;Arta;x
826;75;121;202;Corfu;x
827;64;80;96;Zante;x
828;112;160;32;Edirne;x
829;97;129;210;Xanthe;x
830;240;32;32;Dedeagatch;x
831;128;208;96;Larisa;x
832;160;208;160;Volos;x
833;230;232;104;Trikkala;x
834;141;127;98;Athens;x
835;70;95;141;Amfissa;x
836;191;81;96;Lamia;x
837;81;135;145;Missolonghi;x
838;160;16;160;Khalkis;x
839;96;208;32;Nafplion;x
840;224;81;32;Corinth;x
841;192;208;96;Kalamata;x
842;97;229;126;Patras;x
843;197;100;82;Chios;x
844;33;144;160;Myteline;x
845;96;144;160;Cyclades;x
846;224;17;160;Dodecanese;x
847;223;144;32;Chania;x
848;96;16;160;Iraklion;x
849;208;160;97;Tirana;x
850;81;160;97;Shkoder;x
851;199;113;224;Durres;x
852;113;192;224;Vlore;x
853;123;224;113;Gjirokaster;x
854;1;81;33;Malta;x
855;191;48;32;Nicosia;x
856;121;104;94;Limassol;x
857;64;176;32;Famagusta;x
858;240;32;130;Kirklareli;x
859;32;115;240;Gallipoli;x
860;240;160;32;Istanbul;x
861;48;160;96;Uskudar;x
862;176;160;96;Izmit;x
863;48;32;224;Bursa;x
864;128;144;0;Balikesir;x
865;176;32;224;Canakkale;x
866;164;237;92;Afyon;x
867;86;8;122;Kutahya;x
868;48;160;224;Eskishehir;x
869;32;80;32;Izmir;x
870;160;144;160;Manisa;x
871;96;16;32;Denizli;x
872;224;144;160;Mugla;x
873;235;152;243;Konya;x
874;64;16;96;Burdur;x
875;224;16;32;Antalya;x
876;64;144;0;Ankara;x
877;120;88;73;Amasya;x
878;192;144;0;Kayseri;x
879;64;16;128;Sivas;x
880;192;16;0;Kastamonu;x
881;240;64;224;Bolu;x
882;0;16;128;Trabzon;x
883;128;144;128;Sinop;x
884;0;144;128;Giresun;x
885;192;144;128;Kars;x
886;0;144;0;Ardahan;x
887;128;16;128;Erzurum;x
888;192;16;128;Erzincan;x
889;201;207;36;Malatya;x
890;0;208;0;Van;x
891;64;144;128;Bitlis;x
892;195;60;15;Hakkari;x
